Monk_Tone,R,G,B
monk_1,237,232,229
monk_1,244,240,237
monk_1,228,204,194
monk_1,138,119,112
monk_1,206,219,235
monk_1,191,192,197
monk_1,144,113,93
monk_1,1,0,0
monk_1,112,55,35
monk_1,195,126,87
monk_1,110,60,49
monk_1,229,161,124
monk_1,216,148,113
monk_1,178,118,90
monk_1,95,57,44
monk_1,135,75,51
monk_1,212,147,115
monk_1,75,35,23
monk_1,132,71,66
monk_1,108,74,49
monk_1,241,236,233
monk_1,83,43,17
monk_1,11,0,0
monk_1,223,205,193
monk_1,241,235,235
monk_1,245,241,238
monk_1,180,160,151
monk_1,75,50,43
monk_1,73,37,21
monk_1,206,192,183
monk_1,33,34,39
monk_1,160,94,60
monk_1,167,97,61
monk_1,69,24,5
monk_1,144,71,52
monk_1,64,40,30
monk_1,191,206,225
monk_1,192,193,198
monk_1,151,105,89
monk_1,119,99,92
monk_1,72,53,46
monk_1,211,205,205
monk_1,30,30,38
monk_1,44,16,4
monk_1,232,227,223
monk_1,199,151,131
monk_1,112,100,88
monk_1,252,244,242
monk_1,240,235,231
monk_1,248,244,241
monk_1,177,150,133
monk_1,214,196,186
monk_1,239,233,233
monk_1,251,247,246
monk_1,208,172,160
monk_1,193,195,207
monk_1,203,221,243
monk_1,173,174,178
monk_1,142,107,88
monk_1,88,56,41
monk_1,191,204,220
monk_1,187,190,195
monk_1,159,110,95
monk_1,149,108,78
monk_1,239,230,225
monk_1,175,153,139
monk_1,231,200,195
monk_1,98,78,71
monk_1,124,67,40
monk_1,216,212,211
monk_1,15,16,20
monk_1,245,239,239
monk_1,241,233,231
monk_1,245,240,237
monk_1,143,119,107
monk_1,49,21,17
monk_1,223,158,128
monk_1,87,40,24
monk_1,126,71,68
monk_1,86,56,45
monk_1,232,228,229
monk_1,218,210,208
monk_1,131,88,72
monk_1,7,0,0
monk_1,81,35,20
monk_1,107,43,18
monk_1,126,64,53
monk_1,242,238,237
monk_1,237,232,229
monk_1,244,240,237
monk_1,233,196,188
monk_1,244,240,239
monk_1,240,234,234
monk_1,247,243,242
monk_1,173,108,104
monk_1,242,238,237
monk_1,240,235,232
monk_1,245,241,240
monk_1,209,162,146
monk_1,39,11,0
monk_1,233,225,222
monk_1,133,81,44
monk_1,133,115,103
monk_1,56,34,23
monk_1,80,44,28
monk_1,179,170,163
monk_1,24,25,30
monk_1,78,43,23
monk_1,210,223,232
monk_1,194,193,198
monk_1,126,83,67
monk_1,216,145,103
monk_1,175,101,52
monk_1,209,138,96
monk_1,87,49,36
monk_1,104,53,26
monk_1,58,11,1
monk_1,156,85,41
monk_1,124,77,59
monk_1,124,110,101
monk_1,185,148,130
monk_1,215,209,209
monk_1,51,59,70
monk_1,49,24,19
monk_1,72,39,22
monk_1,101,45,28
monk_1,135,92,83
monk_1,97,61,39
monk_1,234,225,220
monk_1,59,37,26
monk_1,188,154,142
monk_1,216,179,153
monk_1,199,186,178
monk_1,211,185,168
monk_1,4,5,10
monk_1,246,238,236
monk_1,239,234,231
monk_1,245,240,237
monk_1,215,195,184
monk_1,142,125,118
monk_1,200,212,228
monk_1,186,185,190
monk_1,131,87,74
monk_1,110,58,34
monk_1,76,33,14
monk_1,156,82,43
monk_1,14,4,0
monk_1,123,126,131
monk_1,144,153,160
monk_1,100,106,106
monk_1,42,23,16
monk_1,128,82,67
monk_1,199,149,138
monk_1,205,158,150
monk_1,88,43,46
monk_1,216,205,201
monk_1,195,184,180
monk_1,216,205,201
monk_1,210,202,199
monk_1,212,201,197
monk_1,198,185,179
monk_1,200,189,185
monk_1,169,157,157
monk_1,244,230,227
monk_1,232,217,212
monk_1,241,230,226
monk_1,176,127,123
monk_1,242,229,223
monk_1,229,214,209
monk_1,249,238,236
monk_1,247,228,230
monk_1,148,106,90
monk_1,195,145,134
monk_1,189,144,138
monk_1,138,109,103
monk_1,163,118,99
monk_1,200,151,137
monk_1,146,112,100
monk_1,196,181,174
monk_1,240,230,228
monk_1,234,223,217
monk_1,246,238,235
monk_1,156,90,92
monk_1,167,115,93
monk_1,198,141,122
monk_1,210,154,137
monk_1,68,33,29
monk_1,215,178,160
monk_1,206,169,151
monk_1,225,190,171
monk_1,204,162,150
monk_1,170,142,120
monk_1,200,189,185
monk_1,200,189,185
monk_1,192,193,198
monk_1,171,122,117
monk_1,197,148,134
monk_1,203,158,152
monk_1,213,200,194
monk_1,163,129,91
monk_1,193,210,220
monk_1,176,184,187
monk_1,163,130,111
monk_1,209,194,187
monk_1,197,182,175
monk_1,210,197,189
monk_1,205,198,192
monk_1,242,231,225
monk_1,233,215,211
monk_1,246,235,231
monk_1,202,182,191
monk_1,220,188,175
monk_1,209,176,161
monk_1,230,202,190
monk_1,189,149,139
monk_1,193,194,196
monk_1,184,184,184
monk_1,110,96,93
monk_1,80,62,52
monk_1,193,195,194
monk_1,183,183,185
monk_1,139,120,113
monk_1,143,126,116
monk_1,246,235,231
monk_1,230,217,209
monk_1,236,227,222
monk_1,255,253,250
monk_1,211,178,161
monk_1,200,167,150
monk_1,225,193,178
monk_1,174,141,126
monk_1,167,123,110
monk_1,203,153,142
monk_1,207,163,154
monk_1,206,193,185
monk_1,186,191,197
monk_1,191,201,211
monk_1,170,174,177
monk_1,152,110,94
monk_1,185,190,196
monk_1,190,200,210
monk_1,162,167,171
monk_1,106,62,49
monk_1,143,121,98
monk_1,203,192,188
monk_1,203,192,186
monk_1,197,196,201
monk_1,155,106,99
monk_1,195,146,132
monk_1,205,161,152
monk_1,190,171,164
monk_1,195,195,193
monk_1,185,185,187
monk_1,126,107,101
monk_1,86,66,59
monk_1,157,114,97
monk_1,194,146,136
monk_1,195,148,142
monk_1,194,179,176
monk_1,198,194,195
monk_1,189,187,188
monk_1,22,24,23
monk_1,94,69,64
monk_1,126,130,133
monk_1,163,175,187
monk_1,102,106,107
monk_1,75,55,44
monk_1,241,228,222
monk_1,230,213,206
monk_1,246,235,231
monk_1,154,120,118
monk_1,199,193,195
monk_1,188,183,187
monk_1,35,30,27
monk_1,60,25,29
monk_1,241,226,219
monk_1,229,212,205
monk_1,242,231,225
monk_1,202,184,182
monk_1,180,131,126
monk_1,197,147,136
monk_1,198,154,145
monk_1,177,157,150
monk_1,179,179,177
monk_1,189,201,213
monk_1,165,173,176
monk_1,103,63,53
monk_1,193,191,192
monk_1,187,188,190
monk_1,125,105,96
monk_1,129,100,94
monk_1,183,133,124
monk_1,202,153,139
monk_1,211,164,156
monk_1,210,197,189
monk_1,116,121,124
monk_1,151,164,173
monk_1,91,95,96
monk_1,66,41,34
monk_1,190,186,187
monk_1,194,189,193
monk_1,65,65,65
monk_1,172,164,162
monk_1,245,230,227
monk_1,233,216,209
monk_1,245,234,230
monk_1,248,233,240
monk_1,241,227,224
monk_1,227,210,203
monk_1,241,230,226
monk_1,231,219,219
monk_1,182,187,193
monk_1,185,198,207
monk_1,163,167,170
monk_1,148,125,109
monk_1,239,224,219
monk_1,227,209,205
monk_1,246,235,231
monk_1,206,191,188
monk_1,240,225,218
monk_1,227,212,207
monk_1,249,238,234
monk_1,231,226,230
monk_1,124,78,63
monk_1,197,149,137
monk_1,201,156,150
monk_1,102,56,59
monk_1,210,195,188
monk_1,202,187,180
monk_1,206,192,183
monk_1,188,177,173
monk_1,215,202,194
monk_1,201,188,182
monk_1,207,194,188
monk_1,151,151,153
monk_1,180,150,126
monk_1,199,188,184
monk_1,206,195,191
monk_1,146,113,106
monk_1,181,132,125
monk_1,196,148,134
monk_1,191,147,138
monk_1,165,142,136
monk_1,97,59,48
monk_1,193,145,133
monk_1,195,150,145
monk_1,73,39,40
monk_1,171,127,116
monk_1,199,151,139
monk_1,204,157,147
monk_1,144,117,108
monk_1,183,134,127
monk_1,203,155,141
monk_1,205,158,152
monk_1,206,189,181
monk_1,217,182,163
monk_1,207,172,153
monk_1,226,193,174
monk_1,201,196,203
monk_1,208,195,189
monk_1,197,182,175
monk_1,134,97,68
monk_1,203,194,189
monk_1,215,202,196
monk_1,195,184,178
monk_1,213,198,191
monk_1,204,199,195
monk_1,172,128,117
monk_1,206,156,145
monk_1,208,164,155
monk_1,164,125,118
monk_1,219,184,165
monk_1,209,174,155
monk_1,230,199,181
monk_1,180,161,157
monk_1,243,228,221
monk_1,232,213,206
monk_1,247,234,228
monk_1,216,198,198
monk_1,185,190,196
monk_1,186,199,207
monk_1,164,168,171
monk_1,120,110,100
monk_1,239,226,220
monk_1,228,211,204
monk_1,239,228,224
monk_1,227,188,191
monk_1,204,165,148
monk_1,193,154,137
monk_1,210,174,158
monk_1,162,134,123
monk_1,213,200,194
monk_1,199,184,179
monk_1,208,195,187
monk_1,211,201,199
monk_1,245,232,226
monk_1,233,216,209
monk_1,245,234,230
monk_1,199,186,180
monk_1,239,229,227
monk_1,228,219,214
monk_1,237,229,227
monk_1,240,232,230
monk_1,179,133,120
monk_1,199,151,139
monk_1,201,154,146
monk_1,204,190,187
monk_1,196,194,195
monk_1,187,182,186
monk_1,29,23,27
monk_1,140,110,108
monk_1,189,189,187
monk_1,183,183,185
monk_1,130,110,101
monk_1,144,126,114
monk_1,151,105,89
monk_1,199,149,138
monk_1,137,105,92
monk_1,169,145,143
monk_1,242,229,223
monk_1,228,211,204
monk_1,245,234,230
monk_1,220,202,202
monk_1,197,197,197
monk_1,182,182,182
monk_1,2,7,3
monk_1,109,89,78
monk_1,197,195,198
monk_1,191,187,188
monk_1,26,32,30
monk_1,115,92,86
monk_1,242,228,225
monk_1,231,213,209
monk_1,244,233,231
monk_1,187,149,136
monk_1,239,226,220
monk_1,228,211,204
monk_1,241,230,226
monk_1,242,215,208
monk_1,211,200,196
monk_1,198,185,179
monk_1,212,203,198
monk_1,161,128,123
monk_1,241,228,222
monk_1,229,212,205
monk_1,246,235,231
monk_1,175,141,132
monk_1,238,225,219
monk_1,230,212,208
monk_1,238,227,223
monk_1,222,198,196
monk_1,243,234,229
monk_1,233,222,216
monk_1,247,240,234
monk_1,240,235,231
monk_1,128,133,136
monk_1,167,181,194
monk_1,104,108,109
monk_1,70,41,33
monk_1,214,203,199
monk_1,206,193,187
monk_1,218,207,203
monk_1,138,127,123
monk_1,210,199,193
monk_1,197,184,176
monk_1,182,143,126
monk_1,200,196,195
monk_1,241,228,222
monk_1,231,214,207
monk_1,247,236,232
monk_1,216,200,200
monk_1,215,180,161
monk_1,207,172,153
monk_1,229,197,182
monk_1,182,164,164
monk_1,210,172,153
monk_1,199,161,140
monk_1,221,184,165
monk_1,166,142,140
monk_1,161,117,104
monk_1,195,147,133
monk_1,196,149,143
monk_1,155,134,133
monk_1,162,103,85
monk_1,201,139,114
monk_1,206,149,129
monk_1,198,171,152
monk_1,216,203,197
monk_1,199,188,182
monk_1,219,210,205
monk_1,211,206,202
monk_1,167,123,110
monk_1,196,148,136
monk_1,201,154,146
monk_1,200,182,180
monk_1,243,230,224
monk_1,232,215,208
monk_1,246,235,231
monk_1,216,174,162
monk_1,187,190,197
monk_1,191,205,216
monk_1,170,173,178
monk_1,89,36,42
monk_1,207,193,182
monk_1,198,187,183
monk_1,202,191,187
monk_1,198,198,200
monk_1,241,227,224
monk_1,231,213,209
monk_1,242,231,227
monk_1,210,171,166
monk_1,210,173,154
monk_1,201,163,144
monk_1,223,186,167
monk_1,140,120,119
monk_1,133,138,141
monk_1,172,186,197
monk_1,110,114,115
monk_1,60,29,24
monk_1,210,174,152
monk_1,200,162,141
monk_1,220,184,162
monk_1,232,212,213
monk_1,128,133,137
monk_1,174,192,204
monk_1,105,109,110
monk_1,89,73,60
monk_1,244,231,225
monk_1,231,214,207
monk_1,246,235,231
monk_1,203,167,167
monk_1,180,134,121
monk_1,196,148,136
monk_1,195,150,144
monk_1,160,140,133
monk_2,46,40,50
monk_2,197,178,174
monk_2,145,160,117
monk_2,115,65,58
monk_2,68,62,64
monk_2,169,155,155
monk_2,112,128,102
monk_2,124,98,85
monk_2,246,236,244
monk_2,178,166,166
monk_2,152,182,122
monk_2,35,35,37
monk_2,180,172,185
monk_2,177,166,174
monk_2,173,169,183
monk_2,167,126,98
monk_2,186,179,187
monk_2,183,172,176
monk_2,177,169,182
monk_2,177,130,100
monk_2,172,175,192
monk_2,170,162,173
monk_2,176,175,193
monk_2,63,40,32
monk_2,167,166,184
monk_2,160,156,173
monk_2,166,167,187
monk_2,96,53,44
monk_2,169,167,188
monk_2,160,156,173
monk_2,169,168,186
monk_2,57,27,19
monk_2,19,14,11
monk_2,174,200,225
monk_2,136,139,132
monk_2,60,47,39
monk_2,42,26,26
monk_2,201,176,172
monk_2,179,193,196
monk_2,94,58,42
monk_2,12,7,11
monk_2,179,178,194
monk_2,181,179,201
monk_2,58,40,26
monk_2,180,176,193
monk_2,189,183,195
monk_2,180,176,191
monk_2,92,64,52
monk_2,239,211,207
monk_2,183,169,169
monk_2,95,112,70
monk_2,120,83,67
monk_2,225,228,245
monk_2,231,235,247
monk_2,222,225,242
monk_2,227,228,222
monk_2,62,52,63
monk_2,232,236,248
monk_2,224,226,247
monk_2,213,219,217
monk_2,50,41,36
monk_2,179,206,233
monk_2,166,168,163
monk_2,152,126,89
monk_2,169,166,187
monk_2,173,167,179
monk_2,169,167,188
monk_2,79,59,52
monk_2,78,64,64
monk_2,181,167,167
monk_2,148,177,113
monk_2,159,120,105
monk_2,185,175,174
monk_2,19,13,15
monk_2,39,50,46
monk_2,123,91,78
monk_2,106,69,51
monk_2,157,184,213
monk_2,120,122,117
monk_2,135,116,83
monk_2,212,213,234
monk_2,217,218,236
monk_2,219,220,241
monk_2,198,161,142
monk_2,58,44,44
monk_2,232,236,247
monk_2,219,222,241
monk_2,146,134,120
monk_2,220,219,237
monk_2,222,222,234
monk_2,223,222,238
monk_2,199,167,144
monk_2,150,129,124
monk_2,189,177,177
monk_2,22,16,16
monk_2,74,55,49
monk_2,168,167,185
monk_2,170,166,180
monk_2,166,164,185
monk_2,81,54,43
monk_2,30,20,18
monk_2,195,229,254
monk_2,172,186,189
monk_2,157,109,86
monk_2,48,45,52
monk_2,181,165,166
monk_2,240,211,215
monk_2,115,82,67
monk_2,226,229,246
monk_2,235,239,248
monk_2,224,227,244
monk_2,203,220,240
monk_2,193,194,214
monk_2,186,185,201
monk_2,184,185,205
monk_2,30,7,1
monk_2,189,182,190
monk_2,172,160,164
monk_2,190,180,189
monk_2,71,44,25
monk_2,169,171,196
monk_2,75,61,58
monk_2,175,176,197
monk_2,43,14,6
monk_2,72,55,48
monk_2,192,178,178
monk_2,135,158,106
monk_2,129,93,77
monk_2,82,68,68
monk_2,200,185,188
monk_2,142,165,111
monk_2,47,36,32
monk_2,206,188,188
monk_2,186,168,164
monk_2,40,52,42
monk_2,101,72,68
monk_2,170,172,193
monk_2,165,164,182
monk_2,171,176,198
monk_2,140,90,83
monk_2,173,170,189
monk_2,167,161,175
monk_2,167,165,187
monk_2,69,46,38
monk_2,187,183,198
monk_2,183,173,182
monk_2,185,181,196
monk_2,157,121,105
monk_2,4,4,6
monk_2,159,186,215
monk_2,115,117,112
monk_2,110,87,56
monk_2,43,33,34
monk_2,184,183,197
monk_2,178,179,199
monk_2,213,202,182
monk_2,149,108,86
monk_2,177,203,228
monk_2,165,167,162
monk_2,187,162,121
monk_2,133,122,128
monk_2,231,235,247
monk_2,224,227,246
monk_2,248,244,235
monk_2,169,168,184
monk_2,172,166,176
monk_2,169,166,183
monk_2,122,87,65
monk_2,179,171,184
monk_2,165,157,170
monk_2,174,168,182
monk_2,187,140,114
monk_2,173,171,185
monk_2,159,155,169
monk_2,173,172,190
monk_2,178,135,119
monk_2,224,227,244
monk_2,234,238,249
monk_2,219,222,239
monk_2,255,251,248
monk_2,225,231,245
monk_2,232,238,250
monk_2,220,223,242
monk_2,230,235,229
monk_2,176,190,191
monk_2,186,212,237
monk_2,166,168,163
monk_2,190,162,122
monk_2,22,16,16
monk_2,185,169,169
monk_2,144,169,111
monk_2,88,59,51
monk_2,215,214,232
monk_2,218,218,230
monk_2,219,218,234
monk_2,220,214,214
monk_2,215,214,232
monk_2,225,225,237
monk_2,219,218,236
monk_2,193,156,138
monk_2,10,6,7
monk_2,154,185,216
monk_2,114,118,117
monk_2,134,111,79
monk_2,171,173,194
monk_2,166,164,178
monk_2,168,170,193
monk_2,68,35,28
monk_2,144,150,150
monk_2,160,186,213
monk_2,119,118,113
monk_2,129,105,71
monk_2,224,227,246
monk_2,228,234,246
monk_2,221,224,243
monk_2,246,245,241
monk_2,27,16,20
monk_2,188,186,200
monk_2,179,181,206
monk_2,143,111,90
monk_2,169,162,178
monk_2,163,155,170
monk_2,167,164,181
monk_2,97,66,48
monk_2,93,112,118
monk_2,183,165,165
monk_2,66,62,61
monk_2,136,90,75
monk_2,125,117,114
monk_2,37,26,24
monk_2,172,176,201
monk_2,127,62,58
monk_2,42,27,24
monk_2,187,171,171
monk_2,148,179,119
monk_2,95,68,57
monk_2,176,175,193
monk_2,166,160,174
monk_2,179,178,196
monk_2,141,93,81
monk_2,220,216,239
monk_2,224,223,239
monk_2,219,220,241
monk_2,255,247,243
monk_2,83,68,73
monk_2,236,240,251
monk_2,217,222,242
monk_2,113,80,61
monk_2,171,164,172
monk_2,177,165,165
monk_2,174,167,175
monk_2,170,128,104
monk_2,13,7,7
monk_2,159,186,213
monk_2,118,118,116
monk_2,143,119,83
monk_2,169,170,188
monk_2,159,155,169
monk_2,169,171,192
monk_2,141,102,95
monk_2,86,75,73
monk_2,175,169,181
monk_2,168,169,189
monk_2,164,131,124
monk_2,1,0,2
monk_2,160,187,216
monk_2,118,119,114
monk_2,147,125,88
monk_2,107,101,101
monk_2,197,195,206
monk_2,182,183,203
monk_2,40,116,129
monk_2,8,3,7
monk_2,184,182,195
monk_2,182,180,202
monk_2,152,131,114
monk_2,26,13,5
monk_2,161,187,212
monk_2,121,122,117
monk_2,143,123,88
monk_2,56,47,50
monk_2,232,236,247
monk_2,220,223,240
monk_2,120,93,74
monk_2,215,216,234
monk_2,222,224,239
monk_2,215,216,236
monk_2,173,146,129
monk_2,218,219,239
monk_2,222,224,239
monk_2,215,217,238
monk_2,94,69,64
monk_2,19,17,22
monk_2,178,166,168
monk_2,226,205,204
monk_2,131,95,79
monk_2,0,0,0
monk_2,158,184,209
monk_2,112,114,109
monk_2,109,86,55
monk_2,170,167,184
monk_2,179,169,178
monk_2,173,170,187
monk_2,172,122,99
monk_2,147,157,167
monk_2,158,184,209
monk_2,120,121,116
monk_2,144,121,89
monk_2,26,20,22
monk_2,167,206,239
monk_2,174,183,180
monk_2,134,91,75
monk_2,210,212,235
monk_2,218,220,235
monk_2,219,220,240
monk_2,122,103,96
monk_2,11,7,4
monk_2,157,184,214
monk_2,117,119,116
monk_2,113,89,61
monk_2,169,176,169
monk_2,176,203,230
monk_2,163,163,153
monk_2,161,131,93
monk_2,129,102,95
monk_2,164,150,150
monk_2,123,151,92
monk_2,86,59,50
monk_2,142,146,145
monk_2,160,186,211
monk_2,119,118,113
monk_2,130,106,70
monk_2,170,171,191
monk_2,172,166,178
monk_2,171,172,192
monk_2,87,59,48
monk_2,193,187,199
monk_2,175,172,183
monk_2,169,168,186
monk_2,66,37,29
monk_2,35,27,38
monk_2,50,34,35
monk_2,99,106,99
monk_2,103,62,56
monk_2,170,167,184
monk_2,157,158,178
monk_2,156,158,181
monk_2,162,168,180
monk_2,217,218,238
monk_2,219,218,234
monk_2,215,217,238
monk_2,162,114,112
monk_2,218,219,237
monk_2,220,219,235
monk_2,216,218,239
monk_2,101,77,67
monk_2,226,229,248
monk_2,230,236,248
monk_2,226,229,248
monk_2,216,228,244
monk_2,28,17,15
monk_2,158,189,218
monk_2,132,132,130
monk_2,105,101,98
monk_2,127,146,163
monk_2,167,196,226
monk_2,130,130,128
monk_2,22,9,1
monk_2,112,103,96
monk_2,161,197,233
monk_2,124,124,122
monk_2,71,47,37
monk_2,144,108,74
monk_2,213,207,209
monk_2,211,214,223
monk_2,188,147,125
monk_2,102,106,107
monk_2,162,196,231
monk_2,125,125,123
monk_2,60,35,28
monk_2,11,6,2
monk_2,156,195,234
monk_2,124,124,122
monk_2,86,63,55
monk_2,151,116,86
monk_2,219,193,168
monk_2,219,218,224
monk_2,194,153,131
monk_2,53,38,31
monk_2,161,197,231
monk_2,125,124,120
monk_2,68,40,29
monk_2,181,170,176
monk_2,165,153,157
monk_2,175,170,176
monk_2,119,84,64
monk_2,6,4,5
monk_2,165,196,227
monk_2,130,130,128
monk_2,37,22,15
monk_2,189,180,183
monk_2,173,163,164
monk_2,176,174,175
monk_2,134,99,77
monk_2,190,178,182
monk_2,176,166,167
monk_2,175,169,171
monk_2,33,17,2
monk_2,140,153,162
monk_2,163,198,228
monk_2,129,125,122
monk_2,61,34,25
monk_2,191,182,185
monk_2,175,167,165
monk_2,180,175,179
monk_2,158,124,99
monk_2,217,168,138
monk_2,201,177,153
monk_2,207,207,215
monk_2,227,196,175
monk_2,187,178,181
monk_2,177,167,166
monk_2,176,170,172
monk_2,33,18,11
monk_2,139,112,93
monk_2,183,209,236
monk_2,176,176,174
monk_2,47,30,23
monk_2,151,176,206
monk_2,162,192,220
monk_2,138,138,136
monk_2,72,55,37
monk_2,112,108,107
monk_2,146,181,213
monk_2,122,122,120
monk_2,64,41,33
monk_2,159,175,198
monk_2,167,197,225
monk_2,132,132,132
monk_2,29,15,6
monk_2,184,133,104
monk_2,212,209,216
monk_2,47,26,21
monk_2,222,186,172
monk_2,113,103,93
monk_2,162,198,234
monk_2,126,126,124
monk_2,73,51,40
monk_2,37,27,17
monk_2,166,193,220
monk_2,130,130,128
monk_2,25,8,0
monk_2,74,56,44
monk_2,161,194,227
monk_2,130,129,127
monk_2,51,27,15
monk_2,158,117,85
monk_2,211,205,205
monk_2,211,211,219
monk_2,203,153,130
monk_2,202,185,155
monk_2,214,200,191
monk_2,218,218,226
monk_2,201,157,130
monk_2,180,171,176
monk_2,165,154,158
monk_2,172,167,173
monk_2,128,77,76
monk_2,189,183,185
monk_2,177,168,169
monk_2,175,169,171
monk_2,14,4,2
monk_2,188,177,185
monk_2,170,158,162
monk_2,185,178,186
monk_2,168,132,110
monk_2,30,17,9
monk_2,130,166,200
monk_2,123,122,118
monk_2,64,37,28
monk_2,8,4,3
monk_2,162,198,232
monk_2,128,128,126
monk_2,81,58,52
monk_2,183,174,177
monk_2,160,150,151
monk_2,176,170,174
monk_2,37,19,5
monk_2,65,55,46
monk_2,160,196,230
monk_2,121,122,117
monk_2,80,56,46
monk_2,11,6,2
monk_2,156,195,234
monk_2,124,124,122
monk_2,86,63,55
monk_2,180,170,178
monk_2,168,157,161
monk_2,179,174,181
monk_2,161,111,102
monk_2,90,71,56
monk_2,161,190,220
monk_2,129,128,126
monk_2,150,143,127
monk_2,175,152,120
monk_2,212,202,200
monk_2,211,213,225
monk_2,133,82,55
monk_2,187,184,179
monk_2,183,175,172
monk_2,155,151,150
monk_2,172,154,132
monk_2,188,177,183
monk_2,178,168,167
monk_2,173,167,169
monk_2,17,4,0
monk_2,30,19,17
monk_2,146,179,214
monk_2,130,132,131
monk_2,106,93,74
monk_2,183,177,181
monk_2,172,160,164
monk_2,176,173,180
monk_2,155,99,84
monk_2,103,61,47
monk_2,170,137,104
monk_2,218,218,226
monk_2,191,143,121
monk_2,189,180,185
monk_2,178,167,171
monk_2,182,176,180
monk_2,111,71,59
monk_2,167,129,106
monk_2,212,210,215
monk_2,215,218,225
monk_2,236,213,197
monk_2,194,159,131
monk_2,222,210,196
monk_2,204,204,212
monk_2,231,194,175
monk_2,53,50,45
monk_2,159,190,219
monk_2,132,132,132
monk_2,134,130,121
monk_2,189,184,181
monk_2,174,166,164
monk_2,174,168,170
monk_2,27,19,16
monk_2,193,183,182
monk_2,176,166,165
